time	V(n001)
Step Information: Run=1  (Run: 1/100)
3.862890624999995e-08	6.251662e-01
3.886328124999995e-08	6.254631e-01
3.909765624999995e-08	6.257167e-01
3.944921874999994e-08	6.260349e-01
3.988281250000000e-08	6.263533e-01
4.001171875000000e-08	6.264366e-01
4.003515625000000e-08	6.264511e-01
4.008203125000000e-08	6.264796e-01
4.017578125000000e-08	6.265351e-01
4.029296874999999e-08	6.266022e-01
4.041015624999999e-08	6.266666e-01
4.052734374999999e-08	6.267285e-01
4.064453124999999e-08	6.267880e-01
4.076171874999999e-08	6.268453e-01
4.087890624999999e-08	6.269006e-01
4.099609374999999e-08	6.269540e-01
4.111328124999999e-08	6.270056e-01
4.123046874999999e-08	6.270556e-01
4.134765624999998e-08	6.271040e-01
4.146484374999998e-08	6.271510e-01
4.158203124999998e-08	6.271967e-01
4.169921874999998e-08	6.272411e-01
4.181640624999998e-08	6.272844e-01
4.193359374999998e-08	6.273265e-01
4.205078124999998e-08	6.273676e-01
4.216796874999998e-08	6.274076e-01
4.240234374999997e-08	6.274849e-01
4.275390624999997e-08	6.275946e-01
4.357421874999996e-08	6.278255e-01
4.400000000000000e-08	6.279340e-01
4.401171875000000e-08	6.279369e-01
4.403515624999999e-08	6.279426e-01
4.581640624999998e-08	6.283116e-01
4.839453124999995e-08	6.286964e-01
5.202734374999992e-08	6.290830e-01
5.730078124999987e-08	6.294795e-01
6.503515625000010e-08	6.298853e-01
7.640234375000064e-08	6.302972e-01
9.327734375000143e-08	6.307156e-01
1.134335937500024e-07	6.310667e-01
1.199374999999634e-07	6.311593e-01
1.200000000000000e-07	6.311601e-01
Step Information: Run=4  (Run: 4/100)
0.000000000000000e+00	0.000000e+00
1.171874952965771e-15	4.210581e-01
2.205396387162603e-15	5.499097e-01
4.272439255556267e-15	5.499076e-01
8.406524992343595e-15	5.499067e-01
1.667469646591825e-14	5.499049e-01
2.655383322980442e-14	5.499028e-01
4.631210675757675e-14	5.498984e-01
8.582865381312140e-14	5.498897e-01
1.648617479242107e-13	5.498723e-01
3.229279361463893e-13	5.498377e-01
6.390603125907466e-13	5.497687e-01
1.271325065479461e-12	5.496322e-01
2.535854571256890e-12	5.493651e-01
5.064913582811747e-12	5.488536e-01
1.012303160592146e-11	5.479144e-01
2.023926765214089e-11	5.463224e-01
4.047173974457976e-11	5.439927e-01
8.093668392945747e-11	5.413578e-01
1.618665722992129e-10	5.393938e-01
2.790540722992129e-10	5.390300e-01
3.962415722992130e-10	5.394530e-01
5.134290722992130e-10	5.400147e-01
6.306165722992130e-10	5.406442e-01
7.478040722992130e-10	5.413472e-01
8.649915722992130e-10	5.421084e-01
9.821790722992130e-10	5.429074e-01
1.099366572299213e-09	5.437279e-01
1.216554072299213e-09	5.445579e-01
1.282812500000000e-09	5.450285e-01
1.400000000000000e-09	5.458611e-01
1.411718750000000e-09	5.459232e-01
1.435156250000000e-09	5.460205e-01
1.482031250000000e-09	5.461436e-01
1.575781250000000e-09	5.462961e-01
1.692968750000000e-09	5.464451e-01
2.396093750000001e-09	5.471978e-01
3.333593750000001e-09	5.479519e-01
4.388281250000000e-09	5.485541e-01
5.677343749999997e-09	5.490497e-01
7.317968749999993e-09	5.494382e-01
9.544531250000002e-09	5.497200e-01
1.306015625000002e-08	5.499014e-01
1.528671875000002e-08	5.499459e-01
1.540000000000000e-08	5.499474e-01
1.541132812500000e-08	5.499280e-01
1.543398437499999e-08	5.498624e-01
1.547929687499998e-08	5.496542e-01
1.556992187499996e-08	5.491128e-01
