time	V(bitline0)
Step Information: Run=1  (Run: 1/100)
1.282812500000000e-009	5.540404e-001
1.400000000000000e-009	5.543090e-001
1.411718750000000e-009	5.530723e-001
1.435156250000000e-009	5.510831e-001
1.482031250000000e-009	5.490581e-001
1.575781250000000e-009	5.479316e-001
1.692968750000000e-009	5.478103e-001
2.396093750000001e-009	5.482351e-001
3.333593750000002e-009	5.486665e-001
4.505468750000000e-009	5.490590e-001
5.911718749999997e-009	5.493789e-001
7.669531249999994e-009	5.496281e-001
9.882812500000000e-009	5.498021e-001
1.000000000000000e-008	5.498084e-001
1.001171875000000e-008	5.498091e-001
1.003515625000000e-008	5.498103e-001
1.369140625000002e-008	5.499281e-001
1.540000000000000e-008	5.499520e-001
1.541171875000000e-008	5.483963e-001
1.543515625000000e-008	5.461116e-001
1.548203125000000e-008	5.435603e-001
1.557578125000000e-008	5.410855e-001
1.569296875000000e-008	5.394595e-001
1.581015625000000e-008	5.384727e-001
1.592734374999999e-008	5.377508e-001
1.604453124999999e-008	5.372117e-001
1.616171874999999e-008	5.369253e-001
1.627890624999999e-008	5.369376e-001
1.639609374999999e-008	5.371344e-001
1.651328124999999e-008	5.372981e-001
1.663046874999999e-008	5.373184e-001
1.672031249999992e-008	5.372142e-001
1.675000000000010e-008	5.371608e-001
1.680000000000000e-008	5.370638e-001
1.680499999999999e-008	5.374238e-001
1.681499999999997e-008	5.380633e-001
1.683499999999993e-008	5.390337e-001
1.687499999999985e-008	5.401983e-001
1.695499999999968e-008	5.412092e-001
1.707218749999968e-008	5.416304e-001
1.718937499999968e-008	5.416898e-001
2.000000000000000e-008	5.416831e-001
2.001153125000003e-008	5.416831e-001
2.003459375000011e-008	5.416830e-001
2.008071875000024e-008	5.416828e-001
2.017296875000052e-008	5.416827e-001
2.029015625000052e-008	5.416825e-001
2.040734375000052e-008	5.416825e-001
2.052453125000052e-008	5.416827e-001
2.064171875000052e-008	5.416830e-001
2.075890625000051e-008	5.416833e-001
2.087609375000051e-008	5.416838e-001
2.099328125000051e-008	5.416843e-001
2.122765625000051e-008	5.416853e-001
2.157921875000051e-008	5.416874e-001
2.204796875000050e-008	5.416906e-001
2.239953125000050e-008	5.416936e-001
2.263390625000050e-008	5.416955e-001
2.275109375000050e-008	5.416964e-001
2.286828125000049e-008	5.416971e-001
2.298546875000049e-008	5.416977e-001
2.310265625000049e-008	5.416980e-001
2.321984375000049e-008	5.416980e-001
2.333703125000049e-008	5.416977e-001
2.345421875000049e-008	5.416970e-001
2.368859375000049e-008	5.416948e-001
2.400000000000000e-008	5.416908e-001
2.401171875000000e-008	5.416905e-001
2.403515625000000e-008	5.416898e-001
