workload, memory, parallelism, tXAW, energy (nJ), execution time (ns)
ColorGrade, DDR4, 2048, 0.0, 855.2000, 3639.1200
ColorGrade, DDR4, 2048, 6.664, 855.2000, 4065.6160
ColorGrade, DDR4, 2048, 13.328, 855.2000, 4492.1120
LeNet4, DDR4, 1, 0.0, 78984.9359, 72697.4400
LeNet4, DDR4, 1, 6.664, 78984.9359, 72697.4400
LeNet4, DDR4, 1, 13.328, 78984.9359, 72697.4400
LeNet4, DDR4, 16, 0.0, 78984.9359, 15151.2000
LeNet4, DDR4, 16, 6.664, 78984.9359, 16910.4960
LeNet4, DDR4, 16, 13.328, 78984.9359, 18669.7920
LeNet4, DDR4, 256, 0.0, 78984.9359, 15151.2000
LeNet4, DDR4, 256, 6.664, 78984.9359, 16910.4960
LeNet4, DDR4, 256, 13.328, 78984.9359, 18669.7920
LeNet4, DDR4, 2048, 0.0, 78984.9359, 15151.2000
LeNet4, DDR4, 2048, 6.664, 78984.9359, 16910.4960
LeNet4, DDR4, 2048, 13.328, 78984.9359, 18669.7920
LeNet1, DDR4, 1, 0.0, 19746.2340, 18124.8000
LeNet1, DDR4, 1, 6.664, 19746.2340, 18124.8000
LeNet1, DDR4, 1, 13.328, 19746.2340, 18124.8000
LeNet1, DDR4, 16, 0.0, 19746.2340, 11582.8800
LeNet1, DDR4, 16, 6.664, 19746.2340, 12915.6800
LeNet1, DDR4, 16, 13.328, 19746.2340, 14248.4800
LeNet1, DDR4, 256, 0.0, 19746.2340, 11582.8800
LeNet1, DDR4, 256, 6.664, 19746.2340, 12915.6800
LeNet1, DDR4, 256, 13.328, 19746.2340, 14248.4800
LeNet1, DDR4, 2048, 0.0, 19746.2340, 11582.8800
LeNet1, DDR4, 2048, 6.664, 19746.2340, 12915.6800
LeNet1, DDR4, 2048, 13.328, 19746.2340, 14248.4800
VecAdd4_KSA, 3DS, 512, 0.0, 22743.0400, 1397.4000
VecAdd4_KSA, 3DS, 512, 6.664, 22743.0400, 1590.6560
VecAdd4_KSA, 3DS, 512, 13.328, 22743.0400, 1783.9120
VecAdd4_KSA, 3DS, 8192, 0.0, 22743.0400, 1397.4000
VecAdd4_KSA, 3DS, 8192, 6.664, 22743.0400, 1590.6560
VecAdd4_KSA, 3DS, 8192, 13.328, 22743.0400, 1783.9120
VecAdd8, 3DS, 512, 0.0, 29870.0800, 1825.8000
VecAdd8, 3DS, 512, 6.664, 29870.0800, 2079.0320
VecAdd8, 3DS, 512, 13.328, 29870.0800, 2332.2640
VecAdd8, 3DS, 8192, 0.0, 29870.0800, 1825.8000
VecAdd8, 3DS, 8192, 6.664, 29870.0800, 2079.0320
VecAdd8, 3DS, 8192, 13.328, 29870.0800, 2332.2640
VecMulQ8, 3DS, 512, 0.0, 199262.2080, 16054.8000
VecMulQ8, 3DS, 512, 6.664, 199262.2080, 18540.4720
VecMulQ8, 3DS, 512, 13.328, 199262.2080, 21026.1440
VecMulQ8, 3DS, 8192, 0.0, 199262.2080, 16054.8000
VecMulQ8, 3DS, 8192, 6.664, 199262.2080, 18540.4720
VecMulQ8, 3DS, 8192, 13.328, 199262.2080, 21026.1440
VecMulQ16, 3DS, 512, 0.0, 600717.3120, 52224.0000
VecMulQ16, 3DS, 512, 6.664, 600717.3120, 60487.3600
VecMulQ16, 3DS, 512, 13.328, 600717.3120, 68750.7200
VecMulQ16, 3DS, 8192, 0.0, 600717.3120, 52224.0000
VecMulQ16, 3DS, 8192, 6.664, 600717.3120, 60487.3600
VecMulQ16, 3DS, 8192, 13.328, 600717.3120, 68750.7200
CRC8, 3DS, 512, 0.0, 296458649.6000, 2684313.6268
CRC8, 3DS, 512, 6.664, 296458649.6000, 3122751.5148
CRC8, 3DS, 512, 13.328, 296458649.6000, 3561189.4028
CRC8, 3DS, 8192, 0.0, 296458649.6000, 167769.6268
CRC8, 3DS, 8192, 6.664, 296458649.6000, 195171.9948
CRC8, 3DS, 8192, 13.328, 296458649.6000, 222574.3628
CRC16, 3DS, 512, 0.0, 296458649.6000, 2684313.6268
CRC16, 3DS, 512, 6.664, 296458649.6000, 3122751.5148
CRC16, 3DS, 512, 13.328, 296458649.6000, 3561189.4028
CRC16, 3DS, 8192, 0.0, 296458649.6000, 167769.6268
CRC16, 3DS, 8192, 6.664, 296458649.6000, 195171.9948
CRC16, 3DS, 8192, 13.328, 296458649.6000, 222574.3628
CRC32, 3DS, 512, 0.0, 296458649.6000, 2684313.6268
CRC32, 3DS, 512, 6.664, 296458649.6000, 3122751.5148
CRC32, 3DS, 512, 13.328, 296458649.6000, 3561189.4028
CRC32, 3DS, 8192, 0.0, 296458649.6000, 167769.6268
CRC32, 3DS, 8192, 6.664, 296458649.6000, 195171.9948
CRC32, 3DS, 8192, 13.328, 296458649.6000, 222574.3628
Salsa20, 3DS, 512, 0.0, 1197746421.7600, 11531059.3074
Salsa20, 3DS, 512, 6.664, 1197746421.7600, 13414465.6434
Salsa20, 3DS, 512, 13.328, 1197746421.7600, 15297871.9794
Salsa20, 3DS, 8192, 0.0, 1197746421.7600, 720691.3074
Salsa20, 3DS, 8192, 6.664, 1197746421.7600, 838404.2034
Salsa20, 3DS, 8192, 13.328, 1197746421.7600, 956117.0994
VMPC, 3DS, 512, 0.0, 448400967.6800, 42950843.4000
VMPC, 3DS, 512, 6.664, 448400967.6800, 49966102.8400
VMPC, 3DS, 512, 13.328, 448400967.6800, 56981362.2800
VMPC, 3DS, 8192, 0.0, 448400967.6800, 2686139.4000
VMPC, 3DS, 8192, 6.664, 448400967.6800, 3124830.5200
VMPC, 3DS, 8192, 13.328, 448400967.6800, 3563521.6400
BitWiseOps, 3DS, 512, 0.0, 29148.1600, 2743.8000
BitWiseOps, 3DS, 512, 6.664, 29148.1600, 3190.2880
BitWiseOps, 3DS, 512, 13.328, 29148.1600, 3636.7760
BitWiseOps, 3DS, 8192, 0.0, 29148.1600, 2743.8000
BitWiseOps, 3DS, 8192, 6.664, 29148.1600, 3190.2880
BitWiseOps, 3DS, 8192, 13.328, 29148.1600, 3636.7760
BitCount, 3DS, 512, 0.0, 27366.4000, 2621.4000
BitCount, 3DS, 512, 6.664, 27366.4000, 3047.8960
BitCount, 3DS, 512, 13.328, 27366.4000, 3474.3920
BitCount, 3DS, 8192, 0.0, 27366.4000, 2621.4000
BitCount, 3DS, 8192, 6.664, 27366.4000, 3047.8960
BitCount, 3DS, 8192, 13.328, 27366.4000, 3474.3920
BitCount_short, 3DS, 512, 0.0, 1930.2400, 173.4000
BitCount_short, 3DS, 512, 6.664, 1930.2400, 200.0560
BitCount_short, 3DS, 512, 13.328, 1930.2400, 226.7120
BitCount_short, 3DS, 8192, 0.0, 1930.2400, 173.4000
BitCount_short, 3DS, 8192, 6.664, 1930.2400, 200.0560
BitCount_short, 3DS, 8192, 13.328, 1930.2400, 226.7120
ImgBin, 3DS, 512, 0.0, 27366.4000, 2621.4000
ImgBin, 3DS, 512, 6.664, 27366.4000, 3047.8960
ImgBin, 3DS, 512, 13.328, 27366.4000, 3474.3920
ImgBin, 3DS, 8192, 0.0, 27366.4000, 2621.4000
ImgBin, 3DS, 8192, 6.664, 27366.4000, 3047.8960
ImgBin, 3DS, 8192, 13.328, 27366.4000, 3474.3920
ColorGrade, 3DS, 512, 0.0, 27366.4000, 2621.4000
ColorGrade, 3DS, 512, 6.664, 27366.4000, 3047.8960
ColorGrade, 3DS, 512, 13.328, 27366.4000, 3474.3920
ColorGrade, 3DS, 8192, 0.0, 27366.4000, 2621.4000
ColorGrade, 3DS, 8192, 6.664, 27366.4000, 3047.8960
ColorGrade, 3DS, 8192, 13.328, 27366.4000, 3474.3920
LeNet4, 3DS, 512, 0.0, 198055.2527, 25357.2000
LeNet4, 3DS, 512, 6.664, 198055.2527, 29475.5520
LeNet4, 3DS, 512, 13.328, 198055.2527, 33593.9040
LeNet4, 3DS, 8192, 0.0, 198055.2527, 25357.2000
LeNet4, 3DS, 8192, 6.664, 198055.2527, 29475.5520
LeNet4, 3DS, 8192, 13.328, 198055.2527, 33593.9040
LeNet1, 3DS, 512, 0.0, 49513.8132, 19380.0000
LeNet1, 3DS, 512, 6.664, 49513.8132, 22512.0800
LeNet1, 3DS, 512, 13.328, 49513.8132, 25644.1600
LeNet1, 3DS, 8192, 0.0, 49513.8132, 19380.0000
LeNet1, 3DS, 8192, 6.664, 49513.8132, 22512.0800
LeNet1, 3DS, 8192, 13.328, 49513.8132, 25644.1600
