workload, memory, parallelism, tXAW, energy (nJ), execution time (ns)
ColorGrade, DDR4, 2048, 0.0, 5439.4880, 14499.8400
ColorGrade, DDR4, 2048, 6.664, 5439.4880, 16205.8240
ColorGrade, DDR4, 2048, 13.328, 5439.4880, 17911.8080
LeNet4, DDR4, 1, 0.0, 84715.5057, 289968.4800
LeNet4, DDR4, 1, 6.664, 84715.5057, 289968.4800
LeNet4, DDR4, 1, 13.328, 84715.5057, 289968.4800
LeNet4, DDR4, 16, 0.0, 84715.5057, 60604.8000
LeNet4, DDR4, 16, 6.664, 84715.5057, 67695.2960
LeNet4, DDR4, 16, 13.328, 84715.5057, 74785.7920
LeNet4, DDR4, 256, 0.0, 84715.5057, 60604.8000
LeNet4, DDR4, 256, 6.664, 84715.5057, 67695.2960
LeNet4, DDR4, 256, 13.328, 84715.5057, 74785.7920
LeNet4, DDR4, 2048, 0.0, 84715.5057, 60604.8000
LeNet4, DDR4, 2048, 6.664, 84715.5057, 67695.2960
LeNet4, DDR4, 2048, 13.328, 84715.5057, 74785.7920
LeNet1, DDR4, 1, 0.0, 21178.8764, 72414.2400
LeNet1, DDR4, 1, 6.664, 21178.8764, 72414.2400
LeNet1, DDR4, 1, 13.328, 21178.8764, 72414.2400
LeNet1, DDR4, 16, 0.0, 21178.8764, 46388.1600
LeNet1, DDR4, 16, 6.664, 21178.8764, 51825.9840
LeNet1, DDR4, 16, 13.328, 21178.8764, 57263.8080
LeNet1, DDR4, 256, 0.0, 21178.8764, 46388.1600
LeNet1, DDR4, 256, 6.664, 21178.8764, 51825.9840
LeNet1, DDR4, 256, 13.328, 21178.8764, 57263.8080
LeNet1, DDR4, 2048, 0.0, 21178.8764, 46388.1600
LeNet1, DDR4, 2048, 6.664, 21178.8764, 51825.9840
LeNet1, DDR4, 2048, 13.328, 21178.8764, 57263.8080
VecAdd4_KSA, 3DS, 512, 0.0, 22743.0400, 1397.4000
VecAdd4_KSA, 3DS, 512, 6.664, 22743.0400, 1590.6560
VecAdd4_KSA, 3DS, 512, 13.328, 22743.0400, 1783.9120
VecAdd4_KSA, 3DS, 8192, 0.0, 22743.0400, 1397.4000
VecAdd4_KSA, 3DS, 8192, 6.664, 22743.0400, 1590.6560
VecAdd4_KSA, 3DS, 8192, 13.328, 22743.0400, 1783.9120
VecAdd8, 3DS, 512, 0.0, 29870.0800, 1825.8000
VecAdd8, 3DS, 512, 6.664, 29870.0800, 2079.0320
VecAdd8, 3DS, 512, 13.328, 29870.0800, 2332.2640
VecAdd8, 3DS, 8192, 0.0, 29870.0800, 1825.8000
VecAdd8, 3DS, 8192, 6.664, 29870.0800, 2079.0320
VecAdd8, 3DS, 8192, 13.328, 29870.0800, 2332.2640
